subject,age,education,age_english,age_spanish,comfortable_english,comfortable_spanish,classes_english,classes_spanish,residency_english,residency_spanish,family_english,family_spanish,work_english,work_spanish,percent_friends_english,percent_friends_spanish,percent_friends_other,percent_family_english,percent_family_spanish,percent_family_other,percent_work_english,percent_work_spanish,percent_work_other,talk_yourself_english,talk_yourself_spanish,talk_yourself_other,count_english,count_spanish,count_other,proficiency_speak_english,proficiency_speak_spanish,proficiency_understand_english,proficiency_understand_spanish,proficiency_read_english,proficiency_read_spanish,proficiency_write_english,proficiency_write_spanish,feel_myself_english,feel_myself_spanish,culture_english_speaking,culture_spanish_speaking,sound_native_english,sound_native_spanish,native_speaker_english,native_speaker_spanish,accents_spanish,accents_english,dominance_score,accents_coded,device,trial,response
S081,40,PhD/MD/JD,0,11,0,14,20,5,20,0,20,0,20,0,1,0,0,1,0,0,1,0,0.2,1,0,0,1,0,0,6,3,6,3,6,5,6,3,6,0,6,0,0,0,0,0,1,3,138.58,"eng_accented_mex_spa,  eng_accented_ind,  eng_accented_chin",Computer/laptop speakers,ad_i_spp_cr,1 and 2
S082,29,"College (B.A., B.S.)",0,3,0,6,0,8,20,1,20,20,20,9,1,0.5,0,1,0.5,0,1,0.3,0,0.9,0.6,0,0.9,0.4,0,6,5,6,5,5,5,5,5,5,5,6,4,6,6,5,5,5,4,31.514,spa_accented_am_eng,High price earphones or headphones (e.g. noise-cancelling headphones),ad_i_spp_cr,1 and 2
S083,35,Masters,2,12,2,14,5,13,6,13,2,13,17,17,1,0.9,1,1,0.9,1,0.9,1,0.9,1,0.9,0.9,1,0.9,0.9,6,5,6,5,6,6,6,6,6,6,6,5,6,6,6,4,5,4,13.894,,Computer/laptop speakers,ad_i_spp_cr,1 and 2
S084,35,Masters,0,14,0,15,20,7,20,8,20,8,20,7,1,0.6,0.5,1,0.6,0.5,1,0.6,0.4,1,0.7,0.5,1,0.5,0.4,6,4,6,3,6,3,6,3,6,4,6,3,6,3,6,3,5,2,85.446,,High price earphones or headphones (e.g. noise-cancelling headphones),ad_i_spp_cr,2 and 3
S085,57,"College (B.A., B.S.)",0,8,0,11,5,11,20,1,20,10,20,5,1,0.7,0,1,0.2,0,1,0.5,0,1,0.7,0,1,0.4,0,6,5,6,6,5,5,6,5,5,5,6,6,5,4,5,5,3,5,44.318,spa_accented_am_eng,High price earphones or headphones (e.g. noise-cancelling headphones),ad_i_spp_cr,2 and 3
S086,25,Masters,20,15,14,14,14,16,15,16,14,14,13,14,0.7,0.7,0.8,0.7,0.8,0.7,0.7,0.7,0.8,0.7,0.7,0.7,0.7,0.8,0.7,4,4,4,5,4,5,4,5,3,3,4,5,4,5,4,4,3,3,-16.526,,Computer/laptop speakers,ad_i_spp_cr,1 and 2
S087,25,"College (B.A., B.S.)",0,15,0,16,12,3,18,3,16,6,19,5,0.9,0.2,0.1,0.9,0.1,0,0.8,0.3,0.1,1,0.3,0.2,1,0.4,0.2,6,2,6,1,6,1,6,1,6,2,6,2,6,2,6,2,2,5,125.856,,High price earphones or headphones (e.g. noise-cancelling headphones),ad_i_spp_cr,1 and 2
S088,35,Masters,20,17,19,19,20,19,20,16,20,19,20,20,1,0.9,0,1,0.8,0.1,1,1,0,1,0.7,0,1,0.9,0,5,4,6,4,6,3,6,5,6,5,6,2,6,5,6,4,5,3,43.042,,High price earphones or headphones (e.g. noise-cancelling headphones),ad_i_spp_cr,2 and 3
S089,35,Masters,0,1,20,18,19,15,19,13,18,15,19,16,1,0.6,0.2,1,0.9,0.4,1,0.9,0.2,1,0.9,0.3,1,0.8,0.3,6,5,6,5,6,5,6,5,6,5,6,5,6,5,6,5,3,5,34.78,spa_accented_am_eng,Low price earphones (e.g. those you would find at a gas station),ad_i_spp_cr,1 and 2
S090,56,"College (B.A., B.S.)",0,20,5,21,20,20,20,14,20,14,20,14,1,0.4,0,1,0.3,0,1,0.3,0,1,0.3,0,1,0.3,0,6,3,6,3,6,3,6,3,6,3,6,3,6,3,6,3,3,5,100.342,,Computer/laptop speakers,ad_i_spp_cr,2 and 3
S091,35,Masters,20,16,21,18,20,19,20,15,20,18,20,19,1,0.8,0,1,0.5,0,1,0.8,0,1,0.8,0,1,0.7,0,6,4,6,6,6,3,6,3,6,3,6,5,6,5,6,6,4,5,45.042,,High price earphones or headphones (e.g. noise-cancelling headphones),ad_i_spp_cr,2 and 3
S092,24,Some graduate school,20,10,21,10,20,17,20,19,20,19,20,19,1,0.5,0.2,1,0.7,0.3,1,0.6,0.2,1,0.7,0.4,1,0.8,0.5,6,4,6,3,6,3,6,3,6,4,6,4,6,4,6,4,5,3,46.584,,High price earphones or headphones (e.g. noise-cancelling headphones),ad_i_spp_cr,2 and 3
S093,34,"College (B.A., B.S.)",8,14,11,20,14,7,20,8,20,6,14,9,0.6,0.5,0.3,0.8,0.3,0.1,0.7,0.6,0.2,0.8,0.5,0.1,0.6,0.5,0.2,6,4,6,5,6,3,6,3,6,4,5,4,6,4,5,4,4,5,66.832,,High price earphones or headphones (e.g. noise-cancelling headphones),ad_i_spp_cr,1 and 2
